fc_id,url,claim_short,claim_source,verdict_img,claim,date,categories
15-fatality-rate-from-coronavirus-2019-ncov-infection-was-based-only-on-initial-cases-actual-rate-cl.html,https://healthfeedback.org/claimreview/15-fatality-rate-from-coronavirus-2019-ncov-infection-was-based-only-on-initial-cases-actual-rate-closer-to-3-mike-adams-natural-news/,Coronavirus hits 15% fatality rate,http://archive.md/MqvLX,https://healthfeedback.org/wp-content/uploads/tags/HTag_Inaccurate.png,Coronavirus hits 15% fatality rate,25 Jan. 2020,"[""Misleading""]"
1996-paper-is-about-human-evolution-not-potential-for-genius__.html,https://healthfeedback.org/claimreview/1996-paper-is-about-human-evolution-not-potential-for-genius/,"Black Africans possess more DNA series than any other group on earth; The more DNA series you have, the greater your potential for genius; they copyrighted that study, to hide that truth",https://archive.md/5BpZS,https://healthfeedback.org/wp-content/uploads/tags/HTag_Inaccurate.png,"In 1996, 9 Geneticists discovered that Black Africans possessed more DNA series than any other group on earth. They have 9 DNA series while Europeans have only 6. The more DNA series you have, the greater your potential for genius. For this reason, they copyrighted that study, to hide that truth.",10 Sep. 2021,"[""Inaccurate"", ""Misleading""]"
2014-in-vitro-study-clinical-trials-hydroxychloroquine-ineffective-covid-19__.html,https://healthfeedback.org/claimreview/2014-in-vitro-study-clinical-trials-hydroxychloroquine-ineffective-covid-19/,Federal agencies already knew that hydroxychloroquine and chloroquine were very likely to be effective against COVID-19 based on 2014 paper,https://web.archive.org/web/20221102175454/https://www.theepochtimes.com/dr-meryl-nass-more-vaccine-deaths-reported-to-vaers-in-the-last-20-months-than-all-vaccines-in-the-last-30-years-combined_4832677.html,https://healthfeedback.org/wp-content/uploads/tags/HTag_Misleading.png,"The 2014 paper by Fauci's group listed over 60 different drugs that killed MERS or SARS which included hydroxychloroquine and chloroquine […] so the federal agencies were aware before COVID ever appeared that the chloroquine drugs were very likely to be effective""; More Vaccine Deaths Reported to VAERS in the Last 20 Months Than All Vaccines in the Last 30 Years Combined",31 Oct. 2022,"[""Misleading"", ""Lack of context""]"
2018s-most-popular-health-article-wrongly-claims-that-marijuana-is-less-harmful-than-alcohol__.html,https://healthfeedback.org/claimreview/2018s-most-popular-health-article-wrongly-claims-that-marijuana-is-less-harmful-than-alcohol/,"Federal study finds marijuana a hundred times less toxic than alcohol, safer than tobacco",https://web.archive.org/web/20180401034419/http://urhealthguide.com/federal-study-finds-marijuana-100x-less-toxic-alcohol-safer-tobacco/,https://healthfeedback.org/wp-content/uploads/tags/HTag_Misleading.png,"Federal study finds marijuana a hundred times less toxic than alcohol, safer than tobacco",4 Jan. 2018,"[""Cherry-picking:"", ""Misleading""]"
2019-novel-coronavirus-2019-ncov-does-not-contain-pshuttle-sn-sequence-no-evidence-that-virus-is-man.html,https://healthfeedback.org/claimreview/2019-novel-coronavirus-2019-ncov-does-not-contain-pshuttle-sn-sequence-no-evidence-that-virus-is-man-made/,2019 novel coronavirus contains 'pShuttle-SN' sequence proving laboratory origin,http://archive.md/cMkas,https://healthfeedback.org/wp-content/uploads/tags/HTag_Inaccurate.png,2019 novel coronavirus contains 'pShuttle-SN' sequence proving laboratory origin,2 Feb. 2020,"[""Inaccurate""]"
2020-has-seen-a-number-of-flu-cases-and-deaths-comparable-to-previous-years__.html,https://healthfeedback.org/claimreview/2020-has-seen-a-number-of-flu-cases-and-deaths-comparable-to-previous-years/,there are ZERO flu deaths and ZERO pneumonia deaths for the first time in history,https://archive.fo/jUOv7,https://healthfeedback.org/wp-content/uploads/tags/HTag_Inaccurate.png,So let me get this straight ... there are ZERO flu cases and ZERO pneumonia deaths for the first time in history? How is that possible?,12 Apr. 2020,"[""Factually inaccurate""]"
a-2008-study-co-authored-by-anthony-fauci-did-not-find-that-masks-caused-bacterial-pneumonia-contrar.html,https://healthfeedback.org/claimreview/a-2008-study-co-authored-by-anthony-fauci-did-not-find-that-masks-caused-bacterial-pneumonia-contrary-to-viral-social-media-claim/,Most of the victims of the Spanish flu didn’t die from the Spanish flu. They died from bacterial pneumonia. And the bacterial pneumonia was caused by [...] wearing masks,https://archive.is/lfywu,https://healthfeedback.org/wp-content/uploads/tags/HTag_Inaccurate.png,"In 2008, Dr. Anthony Fauci co-authored a paper about the Spanish flu […] They discovered that most of the victims of the Spanish flu didn’t die from the Spanish flu. They died from bacterial pneumonia. And the bacterial pneumonia was caused by… wait for it, wait for it…. wearing masks.",23 Oct. 2020,"[""Inaccurate"", ""Unsupported""]"
a-persons-decision-not-to-vaccinate-affects-others-as-unvaccinated-people-are-more-likely-to-get-inf.html,https://healthfeedback.org/claimreview/a-persons-decision-not-to-vaccinate-affects-others-as-unvaccinated-people-are-more-likely-to-get-infected-and-spread-covid-19-contrary-to-claim-in-facebook-post/,the only person ‘hurting’ if I don’t get the vaccine is me. So mind your own business,https://web.archive.org/web/20210903143719/https://www.facebook.com/plugins/post.php?href=https%3A%2F%2Fwww.facebook.com%2FTheBrennaSpencer%2Fposts%2F4651987744865014&show_text=true&width=500,https://healthfeedback.org/wp-content/uploads/tags/HTag_Incorrect.png,"If you got the vaccine, you don’t need me to. If you got the vaccine, you can still get COVID, & you can still spread COVID. But you won’t be ‘as sick.’ So, the only person ‘hurting’ if I don’t get the vaccine is me. So mind your own business.",2 Sep. 2021,"[""Incorrect""]"
a-persons-response-to-vaccination-is-not-associated-with-birthmarks-or-the-presence-of-mutations-in-.html,https://healthfeedback.org/claimreview/a-persons-response-to-vaccination-is-not-associated-with-birthmarks-or-the-presence-of-mutations-in-a-gene-involved-with-vitamin-b9-production/,Birthmarks are indicators of the MTHFR gene; When people have MTHFR their chances of vaccine reactions increase because they cannot detox the toxins from the vaccines,https://archive.is/zfZi4,https://healthfeedback.org/wp-content/uploads/tags/HTag_Incorrect.png,Birthmarks are indicators of the MTHFR gene; When people have MTHFR their chances of vaccine reactions increase because they cannot detox the toxins from the vaccines,3 Nov. 2018,"[""Incorrect"", ""Misrepresents source""]"
a-proportion-of-covid-19-survivors-are-likely-to-suffer-from-long-term-health-problems-but-the-actua.html,https://healthfeedback.org/claimreview/a-proportion-of-covid-19-survivors-are-likely-to-suffer-from-long-term-health-problems-but-the-actual-risks-are-still-unknown/,For every one person who dies: 19 more require hospitalization; 18 of those will have permanent heart damage for the rest of their lives,http://archive.md/XICEu,https://healthfeedback.org/wp-content/uploads/tags/HTag_Partially_Correct.png,"For every one person who dies: 19 more require hospitalization; 18 of those will have permanent heart damage for the rest of their lives; 10 will have permanent lung damage; 3 will have strokes; 2 will have neurological damage that leads to chronic weakness and loss of coordination; 2 will have neurological damage that leads to loss of cognitive function.""",13 Jul. 2020,"[""Accurate"", ""Inadequate support""]"
